comprimento_msg,contem_exclamacao,palavras_negativas,label
57,1,3,1
41,0,2,0
74,0,4,1
66,1,2,0
134,0,2,0
99,1,1,0
131,0,1,0
69,1,3,1
34,1,4,1
85,1,1,0
39,1,2,0
113,0,0,0
131,0,2,0
138,0,4,1
147,0,1,0
143,1,4,1
74,0,0,0
37,1,0,0
106,1,1,1
70,1,2,0
51,0,2,0
36,1,2,0
68,1,2,0
41,1,2,0
145,0,1,0
101,0,1,0
115,1,1,1
37,0,3,1
38,0,2,0
133,1,1,1
142,1,1,1
26,1,1,0
141,0,1,0
53,1,4,1
99,0,0,0
96,0,1,0
110,0,0,0
104,0,0,0
104,0,0,0
80,0,3,1
145,0,3,1
86,0,3,1
121,1,4,1
89,1,3,1
11,1,2,0
80,0,3,1
141,0,3,1
120,1,3,1
149,0,4,1
33,1,2,0
63,0,2,0
137,1,2,1
132,0,4,1
126,0,2,0
34,1,3,1
23,1,2,0
112,0,0,0
31,1,0,0
94,0,3,1
114,1,0,1
57,1,1,0
126,1,3,1
145,0,0,0
59,1,2,0
37,0,0,0
28,1,4,1
132,0,3,1
25,1,2,0
119,0,2,0
131,0,2,0
23,0,2,0
25,0,3,1
71,1,0,0
123,0,1,0
69,0,0,0
28,0,4,1
133,0,2,0
112,0,0,0
143,1,0,1
141,1,0,1
65,1,4,1
23,1,0,0
34,0,2,0
59,1,3,1
109,1,1,1
71,0,0,0
104,0,4,1
45,0,1,0
102,1,1,1
118,1,0,1
131,0,1,0
127,0,0,0
100,0,1,0
32,0,4,1
122,0,4,1
114,0,4,1
27,1,1,0
103,1,1,1
143,1,2,1
68,0,0,0
109,0,0,0
40,0,0,0
126,0,3,1
53,0,1,0
25,1,3,1
56,1,1,0
39,0,4,1
127,0,0,0
33,0,0,0
51,1,1,0
144,0,0,0
21,0,4,1
99,0,1,0
38,1,1,0
90,0,4,1
52,0,4,1
63,0,3,1
50,0,1,0
114,0,4,1
95,1,0,0
36,0,3,1
54,0,1,0
11,0,2,0
114,1,4,1
122,1,0,1
88,0,1,0
60,1,3,1
89,0,2,0
79,0,1,0
128,1,3,1
66,0,0,0
98,0,1,0
74,0,0,0
74,1,1,0
42,0,1,0
82,0,0,0
59,1,1,0
35,1,3,1
61,0,0,0
35,1,0,0
143,1,1,1
103,1,1,1
102,0,4,1
54,1,4,1
24,1,1,0
123,0,0,0
92,1,3,1
72,1,2,0
80,1,4,1
84,1,4,1
92,1,4,1
91,0,3,1
114,1,3,1
103,0,3,1
72,1,1,0
101,0,1,0
27,0,2,0
59,0,2,0
98,1,0,0
70,1,4,1
20,0,1,0
141,0,0,0
46,1,1,0
10,1,2,0
15,0,4,1
11,1,3,1
114,1,4,1
127,1,3,1
10,1,1,0
27,1,3,1
147,0,1,0
55,0,1,0
107,0,0,0
31,1,4,1
36,1,0,0
135,1,0,1
44,1,2,0
137,1,4,1
129,1,1,1
42,1,2,0
26,0,0,0
19,1,0,0
52,1,0,0
91,1,0,0
16,1,0,0
94,0,0,0
95,0,1,0
92,0,2,0
108,0,3,1
135,0,0,0
14,0,0,0
14,1,2,0
121,1,1,1
98,0,3,1
127,0,2,0
73,1,2,0
51,1,1,0
48,1,3,1
31,0,4,1
68,0,4,1
