id_usuario,mensagem_usuario,categoria_produto,historico_compras_valor,score_satisfacao
8270,"Vocês são péssimos, meu produto veio quebrado",Moda,406.03,2
1860,"Olá, bom dia!",Eletrônicos,1494.46,2
6390,"Vocês são péssimos, meu produto veio quebrado",Moda,1448.82,1
6191,Onde vejo o código de rastreio?,Livros,846.27,4
6734,"Quero meu dinheiro de volta, atrasou demais",Livros,1326.3,2
7265,Oi! Alguém online?,Moda,299.29,3
1466,"Vocês são péssimos, meu produto veio quebrado",Casa,432.73,4
5426,"Olá, bom dia!",Moda,1056.53,5
6578,Onde vejo o código de rastreio?,Casa,1273.06,1
9322,Quero saber onde está meu pedido,Eletrônicos,1287.36,5
2685,"Quero meu dinheiro de volta, atrasou demais",Eletrônicos,618.67,4
1769,"Quero meu dinheiro de volta, atrasou demais",Eletrônicos,1333.9,4
7949,Oi! Alguém online?,Livros,1279.37,4
3433,"Quero meu dinheiro de volta, atrasou demais",Eletrônicos,1404.74,5
6311,"Vocês são péssimos, meu produto veio quebrado",Casa,1182.3,4
6051,"Olá, bom dia!",Eletrônicos,1010.1,5
7420,"Quero meu dinheiro de volta, atrasou demais",Moda,879.42,4
2184,"Quero meu dinheiro de volta, atrasou demais",Moda,570.98,3
5555,Quero saber onde está meu pedido,Livros,1411.4,4
4385,Quero saber onde está meu pedido,Moda,1461.02,5
7396,Como faço para cancelar minha assinatura?,Casa,440.2,2
9666,Onde vejo o código de rastreio?,Eletrônicos,471.94,4
3558,"Vocês são péssimos, meu produto veio quebrado",Livros,738.71,2
8849,"Quero meu dinheiro de volta, atrasou demais",Eletrônicos,683.67,3
3047,Preciso mudar o endereço de entrega urgente,Eletrônicos,1491.8,1
3747,"Quero meu dinheiro de volta, atrasou demais",Casa,280.37,3
1189,"Olá, bom dia!",Moda,46.75,4
3734,Como faço para cancelar minha assinatura?,Moda,750.96,2
4005,Onde vejo o código de rastreio?,Eletrônicos,284.66,2
5658,Preciso mudar o endereço de entrega urgente,Livros,562.37,5
2899,Como faço para cancelar minha assinatura?,Moda,1121.37,2
8734,Oi! Alguém online?,Livros,1086.99,5
2267,Onde vejo o código de rastreio?,Moda,475.93,1
2528,"Quero meu dinheiro de volta, atrasou demais",Livros,822.96,4
4556,"Quero meu dinheiro de volta, atrasou demais",Casa,773.04,5
4890,Onde vejo o código de rastreio?,Livros,961.77,1
9838,"Quero meu dinheiro de volta, atrasou demais",Casa,390.68,2
6393,"Vocês são péssimos, meu produto veio quebrado",Casa,893.01,2
9792,Onde vejo o código de rastreio?,Livros,1468.76,1
9433,Como faço para cancelar minha assinatura?,Casa,740.38,2
8513,Onde vejo o código de rastreio?,Eletrônicos,1361.03,1
3612,Preciso mudar o endereço de entrega urgente,Casa,662.9,5
8041,"Quero meu dinheiro de volta, atrasou demais",Moda,538.12,5
7235,"Vocês são péssimos, meu produto veio quebrado",Livros,974.75,1
6486,"Vocês são péssimos, meu produto veio quebrado",Eletrônicos,1010.01,5
8099,Oi! Alguém online?,Livros,1298.97,5
1775,Como faço para cancelar minha assinatura?,Moda,360.67,5
9226,Quero saber onde está meu pedido,Moda,758.81,3
4152,Quero saber onde está meu pedido,Moda,866.57,4
2585,Onde vejo o código de rastreio?,Casa,1157.46,2
4943,Oi! Alguém online?,Casa,84.53,3
8555,"Olá, bom dia!",Livros,1491.93,5
4073,Onde vejo o código de rastreio?,Livros,715.52,1
2021,Oi! Alguém online?,Eletrônicos,433.75,5
4843,Como faço para cancelar minha assinatura?,Eletrônicos,1327.57,4
8989,Como faço para cancelar minha assinatura?,Livros,1126.62,5
7873,Como faço para cancelar minha assinatura?,Casa,1430.55,1
6675,Como faço para cancelar minha assinatura?,Moda,509.51,4
1161,Como faço para cancelar minha assinatura?,Livros,838.09,5
5297,Oi! Alguém online?,Eletrônicos,866.99,4
1995,Oi! Alguém online?,Casa,1470.89,2
8629,"Vocês são péssimos, meu produto veio quebrado",Livros,131.51,2
2016,Preciso mudar o endereço de entrega urgente,Livros,472.43,5
8869,Quero saber onde está meu pedido,Casa,302.55,4
7439,"Quero meu dinheiro de volta, atrasou demais",Livros,417.34,1
8892,Como faço para cancelar minha assinatura?,Casa,738.21,5
7863,"Olá, bom dia!",Moda,571.58,2
8916,"Quero meu dinheiro de volta, atrasou demais",Casa,604.14,2
9529,Oi! Alguém online?,Casa,1269.44,5
1878,"Olá, bom dia!",Casa,1396.42,4
5887,"Olá, bom dia!",Livros,124.22,2
5859,"Olá, bom dia!",Livros,329.2,4
7331,"Vocês são péssimos, meu produto veio quebrado",Casa,1013.29,2
9571,Oi! Alguém online?,Livros,550.8,2
9684,"Olá, bom dia!",Eletrônicos,396.16,3
8208,Como faço para cancelar minha assinatura?,Eletrônicos,457.03,2
6276,Onde vejo o código de rastreio?,Livros,497.38,1
3062,"Olá, bom dia!",Livros,1276.03,5
1064,"Vocês são péssimos, meu produto veio quebrado",Casa,222.2,5
9006,"Quero meu dinheiro de volta, atrasou demais",Moda,1069.19,4
3568,Oi! Alguém online?,Livros,838.17,2
6463,Preciso mudar o endereço de entrega urgente,Eletrônicos,458.84,1
3027,"Vocês são péssimos, meu produto veio quebrado",Casa,641.28,4
3695,"Olá, bom dia!",Livros,399.19,3
6258,Oi! Alguém online?,Eletrônicos,925.04,4
6618,Onde vejo o código de rastreio?,Eletrônicos,140.76,4
7736,"Olá, bom dia!",Moda,27.67,2
1391,"Vocês são péssimos, meu produto veio quebrado",Casa,949.28,3
6892,Quero saber onde está meu pedido,Casa,307.53,4
4561,Como faço para cancelar minha assinatura?,Moda,124.99,1
7184,Preciso mudar o endereço de entrega urgente,Moda,607.24,1
4099,"Quero meu dinheiro de volta, atrasou demais",Casa,95.14,5
7278,"Vocês são péssimos, meu produto veio quebrado",Casa,1332.19,3
9392,Oi! Alguém online?,Livros,60.87,3
4104,Preciso mudar o endereço de entrega urgente,Livros,876.72,5
8215,Preciso mudar o endereço de entrega urgente,Moda,668.94,4
3454,Preciso mudar o endereço de entrega urgente,Livros,1014.6,3
9996,"Olá, bom dia!",Eletrônicos,505.67,1
3731,Como faço para cancelar minha assinatura?,Livros,249.46,1
9154,"Olá, bom dia!",Livros,1473.12,2
